id,created_at,favorite_count,retweet_count,text
1354401297039036422,2021-01-27 12:10:07,5,1,"කාන්තාවකගෙන් රුපියල් 150,000ක අල්ලසක් ගත් පුද්ගලයෙක් අත්අඩංගුවට

කාන්තාවකගෙන් රුපියල් 150,000ක මුදලක් අල්ලසක් ලෙස ඉල්ලා එය ලබාගන්නා අවස්ථාවේදී පුද්ගලයෙකු ව අත්අත්අඩංගුවට ගෙන ඇත.
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/fOWuuLMXPS https://t.co/Qb2PXW5qKP"
1354399828290248705,2021-01-27 12:04:17,4,1,"පුජිත් ගේ FR පෙත්සම සලකා බැලීමට දින නියමවේ

පාස්කු ඉරුදින එල්ල කෙරුණු ත්‍රස්ත ප්‍රහාර සිද්ධියෙන් පසුව තමන්ව අනිවාර්ය නිවාඩු යැවීමට එවක...
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/V8doL4iwQB https://t.co/ibRjGv2CrK"
1354392724246581253,2021-01-27 11:36:03,7,2,"දේශපාලන ඇඟිලි ගැසීම් නවත්වන්නැයි ඉල්ලා රුවන්වැල්ල රාජසිංහ විද්‍යාලයේ ගුරුවරු පාරට

#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/40KxVtb7N2 https://t.co/hTom3BG5x5"
1354385202760577024,2021-01-27 11:06:10,8,2,"ඇමති ජී එල් ට, අධ්‍යාපන ලේකම්ට සහ මහාචාර්ය අමරතුංග ට අභියාචනාධිකරණයෙන් නොතීසි

#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/5baTHcNaPr https://t.co/lrRVezDMMW"
1354379310640017409,2021-01-27 10:42:45,5,1,"මියන්මාරයට ඉන්දියාවෙන් කොවිඩ් එන්නත් ලක්ෂ 15ක්

මියන්මාරය තුළ කොවිඩ් මර්දන එන්නත්කරණ වැඩසටහන ආරම්භ කර තිබේ.
#adaderanasinhala

වැඩි විස්තර - https://t.co/nbTeCasgDq https://t.co/U7rtqssUP6"
1354370410230505472,2021-01-27 10:07:23,27,5,"නිරෝධායනය වෙමින් පවතින නිවසක් ලෙස දැන්වීමක් ප්‍රදර්ශනය කරමින් කසිප්පු පෙරලා

#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/KlujuJnyo6 https://t.co/joLcnlAaL6"
1354368213451218944,2021-01-27 09:58:39,7,2,"ප්‍රාදේශීය සභා සභාපතිට මන්ත්‍රීවරියක් පහරදීලා - සභාපති රෝහලේ

ප්‍රාදේශීය සභා මන්ත්‍රීවරියක් පහරදුන් බවට පවසමින් කන්දකැටිය ප්‍රාදේශීය සභාවේ සභාපති, කමල් රාජපක්ෂ මහතා කන්දකැටිය පොලීසිය වෙත පැමිණිල්ලක් ඉදිරිපත්කර තිබේ.
#adaderanasinhala #lka

වැඩි විස්තර - https://t.co/aF4S9caT5T https://t.co/uBg4mxz1T8"
1354363487288504320,2021-01-27 09:39:52,14,2,"ජෙරම් ජයරත්නගේ පත්වීම ගැන ක්‍රීඩා ඇමති අදහස් දක්වයි

#adaderanasinhala #lka #slnews #slsports

වැඩි විස්තර - https://t.co/bCRTKfoHHu https://t.co/CxOZKHfRTt"
1354362355128430593,2021-01-27 09:35:22,9,2,"කතරගමින් හමුවූ ආසාදිතයෝ

කතරගම මහා දේවාල භූමියේ පිහිටි ""වල්ලි මාතා දේවාලයේ"" ප්‍රධාන කපු මහතාට සහ ඔහුගේ බිරිඳට කොවිඩ් - 19 වෛසරය ආසාදනය වී ඇති බව වාර්තා වේ.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/wvyEtxpUDs https://t.co/aPIPSBDWKz"
1354348689586855936,2021-01-27 08:41:04,27,12,"සහරාන්වත් මෙහෙයවූයේ කවුදැයි ප්‍රශ්නාර්ථයක් ඉතිරි කරමින් පාස්කු කොමිසම අවසන් වෙයි

‍පාස්කු ඉරුදින ත්‍රස්ත ප්‍රහාර මාලාව පිළිබඳ සොයාබැලෙන ජනාධිපති පරීක්ෂණ කොමිසන් සභාවේ කටයුතු අද (27) නිල වශයෙන් අවසන්වීමට නියමිතය.
#adaderanasinhala #lka

වැඩි විස්තර - https://t.co/7leqBZf5nT https://t.co/Vripiz2PQd"
1354347248197492738,2021-01-27 08:35:21,5,2,"බීමත්ව සිටි ලංගම රියදුරුට අධිකරණයෙන් දුන් දඬුවම

බීමතින් මගී බස් රථයක් ධාවනය කළ බවට චෝදනා එල්ල වූ ලංගම රියැදුරෙකු එම චෝදනාවට වැරදිකරු බවට තහවුරු වීමෙන් පසු දඹුල්ල මහෙස්ත්‍රාත් අධිකරණය විසින් දඬුවම් නියමකර තිබේ.
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/bTo7jG8TDA https://t.co/xgMOaUGRAo"
1354345089640894465,2021-01-27 08:26:46,7,2,"අත්අඩංගුවේ සිටින නාකොටික් නිලධාරීන්ගේ ඇප පෙත්සම්වලට නීතිපතිගේ විරෝධය

#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/uUANpB3feX https://t.co/ciMqfAs4Ft"
1354339494380630016,2021-01-27 08:04:32,10,4,"චීනයෙනුත් එන්නත් ලක්ෂ 3ක්

චීන රජයෙන් ශ්‍රී ලංකාවට කොවිඩ් මර්දන එන්නත් මාත්‍රා ලක්ෂ 3ක් ප්‍රදානයක් ලෙස ලබා..
#adaderanasinhala #lka #slnews #slcovid19
වැඩි විස්තර -https://t.co/Nb6gafKt1T https://t.co/FfAjo9yYym"
1354322612772630529,2021-01-27 06:57:27,6,2,"ශ්‍රී ලංකාවෙන් හමුවූ නව කොවිඩ් වෛරස් ප්‍රභේදය ගැන අනතුරු ඇඟවීමක්

රට තුළින් සොයාගත් කොවිඩ් - 19 වෛරසයේ නව ප්‍රභේදය ගැන ජනතාව දැනුවත් කිරීමට සෞඛ්‍ය අමාත්‍යාංශය ඉතා ප්‍රමාද වූ බවට රජයේ වෛද්‍ය  නිලධාරින්ගේ සංගමය චෝදනා කරයි.
#adaderanasinhala

වැඩි විස්තර - https://t.co/dN3fjsoYSe https://t.co/V0KxnlVOSg"
1354318791795224576,2021-01-27 06:42:16,7,4,"කොවිඩ් එන්නත විද ගැනීම අනිවාර්ය ද ?

කොවිඩ් එන්නත ලබාදීම බලෙන් නොකරණ බව ජනාධිපති ප්‍රධාන උපදේශක ලලිත් වීරතුංග මහතා පවසයි. එය ලබාගැනීම ස්වාධීන තීරණයක් බව වීරතුංග මහතා පැවසීය.
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/yhFfqpyHvN https://t.co/zzPgDExmyS"
1354314606534139907,2021-01-27 06:25:38,4,2,"දිස්ත්‍රික්ක 18කින් කොවිඩ් ආසාදිතයින් හමුවේ

කොවිඩ් - 19 ආසාදිත පුද්ගලයින් 755 දෙනෙකු ඊයේ (26) දිනය තුළ අලුතින් හඳුනාගත් බව කොවිඩ්-19 පැතිරීම වැළැක්වීමේ ජාතික ක්‍රියාන්විත මධ්‍යස්ථානය පවසයි.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/DvZJXbOmTX https://t.co/igONK4zvcy"
1354307405694312448,2021-01-27 05:57:01,4,2,"කොදෙව් ක්‍රිකට් සොහොයුරන් දෙදෙනෙකුට කොවිඩ්

බටහිර ඉන්දීය කොදෙව් හි ප්‍රබල ක්‍රිකට් ක්‍රීඩකයින් දෙදෙනෙක්ට කොවිඩ්-19 වෛරසය ආසාදනය වී ඇතැයි වාර්තා වේ.
#adaderanasinhala #sports

වැඩි විස්තර - https://t.co/vnSsM2ACKT https://t.co/wr7IBsPI13"
1354303930663137280,2021-01-27 05:43:13,13,3,"ටෙස්ට් තරඟාවලියේ පරාජය වුණේ ඇයි ? සංගක්කාරගෙන් පැහැදිලි කිරීමක්

#adaderanasinhala #lka #slnews #slcricket #sports

වැඩි විස්තර - https://t.co/bzbg82ghcU https://t.co/stuMWLQCDu"
1354302440779218944,2021-01-27 05:37:18,4,3,"නැගෙනහිර ජැටිය - සිකුරාදා සිට දැඩි වෘත්තීය ක්‍රියාමාර්ග

රටේ සම්පත් විදේශීකරණයට එරෙහිව එළැඹෙන සිකුරාදා සිට දැවැන්ත වෘත්තීය ක්‍රියාමාර්ගවලට අවතීර්ණවීමට වරාය වෘත්තීය සමිති තීරණය කර තිබේ. 
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/3mhHO4wrXB https://t.co/RjPKU9wlv8"
1354295842694459394,2021-01-27 05:11:05,9,4,"රාජ්‍ය අමාත්‍ය අරුන්දික ප්‍රනාන්දුටත් කොවිඩ්

රාජ්‍ය අමාත්‍ය අරුන්දික ප්‍රනාන්දු මහතා කොවිඩ් -19 ආසාදිතයෙකු ලෙස හඳුනාගෙන ඇති බව වාර්තා වේ.
#adaderanasinhala #lka #slnews #slcovid19

වැඩි විස්තර - https://t.co/sKdVMWPmE7 https://t.co/BXP3uAr17Y"
1354286170340024323,2021-01-27 04:32:39,6,2,"පානදුර වෙඩි තැබීම සම්බන්ධයෙන් අයෙක් අත්අඩංගුවට
#adaderanasinhala #lka #slnews

වැඩි විස්තර - https://t.co/hwYmjyi4Or https://t.co/hX1ZqFbPBn"
